Epoch [1/2], Step: [290/781], Avg time for each step 0.0490s
Epoch [1/2], Step: [291/781], Avg time for each step 0.0390s
Epoch [1/2], Step: [292/781], Avg time for each step 0.0450s
Epoch [1/2], Step: [293/781], Avg time for each step 0.0420s
Epoch [1/2], Step: [294/781], Avg time for each step 0.0450s
Epoch [1/2], Step: [295/781], Avg time for each step 0.0417s
Epoch [1/2], Step: [296/781], Avg time for each step 0.0450s
Epoch [1/2], Step: [297/781], Avg time for each step 0.0410s
Epoch [1/2], Step: [298/781], Avg time for each step 0.0498s
Epoch [1/2], Step: [299/781], Avg time for each step 0.0440s
Epoch [1/2], Step: [300/781], Avg time for each step 0.0400s
Epoch [1/2], Step: [301/781], Avg time for each step 0.0410s
Epoch [1/2], Step: [302/781], Avg time for each step 0.0438s
Epoch [1/2], Step: [303/781], Avg time for each step 0.0460s
Epoch [1/2], Step: [304/781], Avg time for each step 0.0400s
Epoch [1/2], Step: [305/781], Avg time for each step 0.0480s
Epoch [1/2], Step: [306/781], Avg time for each step 0.0400s
Epoch [1/2], Step: [307/781], Avg time for each step 0.0460s
Epoch [1/2], Step: [308/781], Avg time for each step 0.0490s
Epoch [1/2], Step: [309/781], Avg time for each step 0.0380s
Epoch [1/2], Step: [310/781], Avg time for each step 0.0452s
Epoch [1/2], Step: [311/781], Avg time for each step 0.0410s
Epoch [1/2], Step: [312/781], Avg time for each step 0.0460s
Epoch [1/2], Step: [313/781], Avg time for each step 0.0430s
Epoch [1/2], Step: [314/781], Avg time for each step 0.0430s
Epoch [1/2], Step: [315/781], Avg time for each step 0.0470s
Epoch [1/2], Step: [316/781], Avg time for each step 0.0410s
Epoch [1/2], Step: [317/781], Avg time for each step 0.0450s
Epoch [1/2], Step: [318/781], Avg time for each step 0.0400s
Epoch [1/2], Step: [319/781], Avg time for each step 0.0470s
Epoch [1/2], Step: [320/781], Avg time for each step 0.0432s
Epoch [1/2], Step: [321/781], Avg time for each step 0.0450s
Epoch [1/2], Step: [322/781], Avg time for each step 0.0420s
Epoch [1/2], Step: [323/781], Avg time for each step 0.0450s
Epoch [1/2], Step: [324/781], Avg time for each step 0.0430s
Epoch [1/2], Step: [325/781], Avg time for each step 0.0420s
Epoch [1/2], Step: [326/781], Avg time for each step 0.0490s
Epoch [1/2], Step: [327/781], Avg time for each step 0.0390s
Epoch [1/2], Step: [328/781], Avg time for each step 0.0448s
Epoch [1/2], Step: [329/781], Avg time for each step 0.0430s
Epoch [1/2], Step: [330/781], Avg time for each step 0.0450s
Epoch [1/2], Step: [331/781], Avg time for each step 0.0410s
Epoch [1/2], Step: [332/781], Avg time for each step 0.0420s
Epoch [1/2], Step: [333/781], Avg time for each step 0.0440s
Epoch [1/2], Step: [334/781], Avg time for each step 0.0460s
Epoch [1/2], Step: [335/781], Avg time for each step 0.0490s
Epoch [1/2], Step: [336/781], Avg time for each step 0.0390s
Epoch [1/2], Step: [337/781], Avg time for each step 0.0450s
Epoch [1/2], Step: [338/781], Avg time for each step 0.0410s
Epoch [1/2], Step: [339/781], Avg time for each step 0.0460s
Epoch [1/2], Step: [340/781], Avg time for each step 0.0410s
Epoch [1/2], Step: [341/781], Avg time for each step 0.0470s
Epoch [1/2], Step: [342/781], Avg time for each step 0.0400s
Epoch [1/2], Step: [343/781], Avg time for each step 0.0460s
Epoch [1/2], Step: [344/781], Avg time for each step 0.0480s
Epoch [1/2], Step: [345/781], Avg time for each step 0.0390s
